school_id,page_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,page_menu_or,page_ungrouped_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
TVPS04000Q,https://www.liceoberto.it,6263,1310,3506,872,9,9.0,3.0,9.0,3.7,7.0,3.81,1.97,1.17,7.0,1.53,7.0,4.98
FITN01000P,https://www.ittmarcopolo.edu.it,4689,1587,4171,275,6,9.0,1.0,0.0,4.0,3.65,6.5,1.81,3.35,3.15,10.97,3.65,3.43
PATF011011,https://www.icsustica.it,1867,1587,2332,170,7,6.0,1.0,0.0,4.0,1.38,2.1,3.97,6.5,2.1,5.51,3.98,6.5
LITD00401G,https://www.einaudiceccherelli.it,2200,1587,3880,384,7,5.0,1.0,3.0,4.3,3.1,2.79,3.1,3.29,5.52,9.98,4.06,2.79
CZTD002014,https://www.iismajoranagirifalco.edu.it,1771,1587,5480,312,7,5.0,1.0,2.0,4.4,0.3,2.58,2.89,3.13,6.5,11.99,3.58,2.58
METF040006,https://www.itisetorricelli.it,231,1588,0,1,0,4.0,3.0,0.0,4.4,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
PERI03000V,https://www.ipsias-dimarziomichetti.edu.it,1623,1587,5334,419,9,7.0,1.0,4.0,4.0,6.5,53.08,53.65,5.67,53.27,54.63,54.44,6.5
SAPS10000T,https://www.scientificovallo.edu.it,8247,1587,3758,231,5,4.0,3.0,7.0,4.0,1.08,1.65,2.43,2.96,1.87,1.73,6.5,6.5
MORC016019,https://www.elsamorantesassuolo.edu.it,2434,1587,6037,257,7,8.0,1.0,9.0,3.5,3.12,2.46,3.11,3.51,5.77,6.5,6.18,2.46
SVPS030004,https://www.liceogbruno.edu.it,6226,1587,6001,580,10,9.0,1.0,0.0,4.0,7.0,1.05,0.78,1.19,1.05,7.0,1.34,1.35
MIPC170001,https://liceoparini.it/,1161,1587,7091,157,4,9.0,1.0,1.0,-1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,13.95
NATF14000X,https://www.itimedi.it,533,1588,418,3,1,9.0,1.0,1.0,-1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
RMPC320006,https://www.liceomontaleroma.edu.it/,803,1689,6198,344,6,9.0,3.0,6.0,3.8,2.25,5.09,11.92,1.4,5.96,10.69,7.64,2.88
PDRI01801P,https://www.meuccifanoli.edu.it,11554,1587,4726,690,8,9.0,1.0,1.0,-1.0,1.06,1.09,7.0,0.92,1.19,7.0,7.0,0.6
NOTF040002,https://www.fauser.edu,1621,1587,5451,319,7,5.0,1.0,0.0,4.4,0.3,2.58,2.89,3.14,6.5,11.99,0.3,2.58
MCRI040004,https://ipsiarenzofrau.edu.it/,2922,1588,2896,241,7,9.0,1.0,5.0,4.2,1.22,1.2,6.5,6.5,1.2,6.5,6.5,1.0
VTPS01201V,https://www.iisfarnese.it,2887,1587,5425,625,11,1.0,1.0,9.0,3.9,4.29,2.43,2.69,3.17,3.16,4.01,7.0,3.01
NATN078016,https://www.isiseuropa.edu.it,1465,1587,3190,394,7,7.0,1.0,7.0,4.0,3.15,2.28,3.14,3.64,6.5,4.12,6.5,2.28
TORC052017,https://www.istitutoboselli.edu.it,5885,1604,848,2,1,9.0,1.0,1.0,-1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
RMPS44000B,https://www.liceonomentano.edu.it,1222,1587,3144,188,7,8.0,1.0,0.0,4.1,3.11,2.46,3.1,3.49,6.5,4.83,2.25,2.46
AGRI02403A,https://www.iissfermi.edu.it,1372,1587,4971,371,7,5.0,1.0,3.0,4.3,3.1,2.79,3.1,3.31,6.5,11.54,7.06,2.79
MIPC140005,https://www.liceoquasimodo.edu.it,1817,1587,3105,292,9,9.0,3.0,23.0,3.7,2.51,4071.32,2.83,4071.71,4071.54,0.3,6.5,2.32
ANPS012012,https://www.savoiabenincasa.edu.it,5651,2106,5667,492,8,9.0,1.0,1.0,-1.0,6.5,18.84,50.22,12.47,6.5,6.43,12.49,31.24
RARI007016,https://www.itipfaenza.edu.it,2116,1587,5547,254,7,8.0,1.0,10.0,3.5,3.82,3.25,3.81,4.18,6.5,6.5,8.98,3.25
PVRA02000D,https://www.ciropollini.eu,1698,1587,3059,221,9,9.0,1.0,4.0,4.0,6.5,53.09,4.5,6.5,3.41,5.06,54.45,89.71
