CODICESCUOLA,DENOMINAZIONESCUOLA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,AREAGEOGRAFICA,REGIONE,PROVINCIA,CAPSCUOLA,DESCRIZIONECOMUNE,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,SITOWEBSCUOLA
CBSL00201A,"L.ARTISTICO ""G.MANZU'""",CBIS002003,"IST. SUPERIORE ""MARIO PAGANO""",SUD,MOLISE,CAMPOBASSO,86100,CAMPOBASSO,LICEO ARTISTICO,https://www.liceopagano.edu.it
RGTD03002X,SEZ.STACCATA ITC BESTA RAGUSA,RGTD03000T,F. BESTA,ISOLE,SICILIA,RAGUSA,97017,SANTA CROCE CAMERINA,ISTITUTO TECNICO COMMERCIALE,https://www.itcbesta.edu.it
